Numéro notice,Titre,Mentions de responsabilité,Titre propre de la collection,Éditeur,Date,DateDébut,DateFin,Date d'autorisation,Édition,Format,ISBN/ISSN,Notes,Langue,Lieu,Cycle,Niveau,Discipline
00000089,Nos gloires nationales,"LAVIOLETTE, Guy",Gloires nationales,Apostolat de la presse,1953-1958,1953-01-01,1958-12-31,,,"25 cm: 188 p. en pag. multiple, ill. en coul.",,"Rassemblement de plusieurs ouvrages de la collection, Gloires nationales. --    Sommaire : Jacques Cartier (1491-1557) : découvreur du Canada. --  Samuel de Champlain (1567-1635) : fondateur et père de la patrie. -- La Vérendrye (1685-1749) : père de l'Ouest canadien. -- Jean de Brebeuf 1593-1649 : le géant des missions huronnes. -- Robert Cavalier de la Salle (1643-1687) : aventurier de génie. -- Louis-Joseph marquis de Montcalm 1712-1759",Français,"Sherbrooke, QC|Montréal, QC|Paris, FR",,,
00000090,Nos gloires nationales,"LAVIOLETTE, Guy",Gloires nationales,Apostolat de la presse; Gloires nationales,1944-1954,1944-01-01,1954-12-31,,,"25 cm: 158 p. en pag. multiple, ill. en coul.",,"Dépouillement : Paul Chomedey, sieur de Maisonneuve (1612-1676) : et les fondateurs de Ville-Marie. -- Marie-Madeleine de Verchères (1678-1747) : chatelaine de la Pérade - Louis Jolliet (1645-1700). -- Christophe Colomb 1451-1506 : découvreur de l'Amérique. -- Isaac Jogues 1607-1646 : deux fois martyr de Jésus-Christ",Français,"Sherbrooke, QC|Montréal, QC|Ottawa, ON",,,
00000091,Un Canada nouveau : vue d'ensemble de l'historique et de la politique du mouvement C.C.F.,"LEWIS, David|SCOTT, Frank",,Éditions Bernard Valiquette,1944,1944-01-01,1944-12-31,,,"19 cm: 275 p., ill. et graph.",,Comprend des appendices à la fin de l'ouvrage,Français,"Montréal, QC",,,
00000092,Peuples lointains : livre de lecture pour le cours de sciences sociales des classes moyennes du cours primaire,"MCVEETY, Marion|CHARBONNEAU, Louis",,School Aids and Text Book Publishing Co. Ltd.,1943,1943-01-01,1943-12-31,,,"18 cm: 250 p., ill.",,,Français,"Régina, SK|Toronto, ON",Système français,"Classes moyennes, primaire",
00000093,Les Débuts de l'époque contemporaine : de 1789 à 1851 : classe de première,"MÉTHIVIER, H.|TAPIÉ, Victor-L.",Nouveau cours d'histoire,Librairie A. Hatier,1956,1956-01-01,1956-12-31,,3e éd. abrégée,"22 cm: 543 p., ill. et cartes",,Sur la p. de t. : programmes de mai 1948,Français,"Paris, FR",Système français,1ère année (France),
00000094,L'Avenir constitutionnel du Canada,"OLLIVIER, Maurice",Documents politiques,Éditions Albert Lévesque,1935,1935-01-01,1935-12-31,,,19 cm: 181 p.,,,Français,"Montréal, QC",,,
00000095,Précis d'histoire contemporaine : de 1789 à nos jours : à l'usage des élèves de classes supérieures,"RUTCHÉ, J.",,Desclée de Brouwer & cie.,1927,1927-01-01,1927-12-31,,,"19 cm: 328 p., ill.",,Comprend une bibliogr.,Français,"Bruges, BE|Paris, FR",Système français,Classes supérieures (France),
00000096,Le Canada : puissance internationale,"SIEGFRIED, André",,Librairie Armand Colin,1937,1937-01-01,1937-12-31,,2e éd.,"22 cm: 234 p., graph. et cartes",,Sur la p. de t. : avec 11 cartes et graphiques. -- Comprend un index et une table à la fin de l'ouvrage,Français,"Paris, FR",,,
00000097,Explorateurs et Conquérants : l'histoire des explorations et des découvertes dans les deux Amériques,"TAIT, George E.|GASCON, Adélard|MOULD, Vernon",,The Ryerson Press,1957,1957-01-01,1957-12-31,,,"21 cm: 241 p., ill. et cartes (certaines en coul.)",,Comprend un tableau et un index à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000098,La Vie des pionniers du Canada,"CARTES, F.E.C|BERNIER, J.",Histoire du Canada,Frères des écoles chrétiennes,1953,1953-01-01,1953-12-31,1951-12-12,,"24 cm: 229 p., ill. et cartes en coul.",,Sur la couv. : 5e année,Français,"Montréal, QC",Primaire,5e année,
00000099,"La Fin du Moyen Age et l'époque moderne 1328-1715 : 4e, programme 1963","BRULET, E.|CLOET R.|COQUERELLE, Simone|COQUERELLE, Paul",Histoire Hatier,Hatier,1965,1965-01-01,1965-12-31,,,"22 cm: 288 p., ill. et cartes (certaines en coul.)",,Comprend un tableau et un lexique,Français,"Paris, FR",Système français,4e année (France),
00000100,La Révolution française et les débuts de l'époque contemporaine (1789-1848) : classe de seconde,"COQUERELLE, Paul|COQUERELLE, Simone|GENET, L.",Histoire Hatier,Librairie A. Hatier,[1960?],1960-01-01,1960-12-31,,,"21 cm: 447 p., ill., graph, tableaux et cartes (certaines en coul.)",,Sur la p. de t. : programme 1957,Français,"Paris, FR",Système français,2e année (France),
00000101,La Fin de l'Ancien Régime et les débuts du monde contemporain 1715-1870,"COQUERELLE, Simone|COQUERELLE, Paul|GENET, L.",Histoire Hatier,Librairie A. Hatier,[1966?],1966-01-01,1966-12-31,,,"22 cm: 383 p., ill., graph., tableaux et cartes (certaines en coul.)",,"Sur la p. de t. : 3e, programme 1963. -- Comprend un lexique",Français,"Paris, FR",Système français,3e année (France),
00000102,L'époque contemporaine 1848-1914 : classe de première,"GENET, L.",Histoire Hatier,Hatier,[1961?],1961-01-01,1961-12-31,,,"21 cm: 511 p., ill. et cartes (certaines en coul. )",,Sur la p. de t. : programme 1959. -- Comprend un lexique,Français,"Paris, FR",Système français,1ère année (France),
00000103,"L'Égypte, l'Orient, la Grèce : enseignement du second degré et collèges d'enseignement général","HARMAND, L.|GENET, L.",Histoire Hatier,Hatier,[1960?],1960-01-01,1960-12-31,,,"22 cm: 192 p., ill., cartes (certaines en coul.) et une carte plié en coul.",,"Sur la couv. : Histoire, 6e cycle d'observation. -- Sur la p. de t. : programme 1963. -- Comprend un lexique et des tables à la fin de l'ouvrage",Français,"Paris, FR",Système français,6e année (France),
00000104,"Orient, Grèce : (classe de sixième)","JARRY, E.",H. X. Arquillière ; 426,Éditions de l'école,[1957?],1957-01-01,1957-12-31,,,"21 cm: 158 p., ill. et cartes",,Sur la couv. : Histoire ancienne. -- Comprend des appendices. -- Éditeurs no 2084,Français,"Paris, FR",Système français,6e année (France),
00000105,Le Monde contemporain : classes terminales,"GENET, L.|TAPIÉ, V.L.",Histoire Hatier,Hatier,[1962?],1962-01-01,1962-12-31,,,"21 cm: 720, XV p., ill., graph., et cartes",,Comprend une bibliogr. : p. V-VII,Français,"Paris, FR",Système français,Classes terminales (France),
00000106,Histoire 5e : Rome et le Moyen Age jusqu'en 1328 : livre de documentation,"BOSSUAT, A.|DAURON, M.|DEVISSE, J.",Histoire Hatier,Hatier,[1964?],1964-01-01,1964-12-31,,,"21 cm: 175 p., ill. et graph.",,Sur la p. de t. : programme de 1963,Français,"Paris, FR",Système français,5e année (France),
00000107,Notre histoire,"BROWN, George W.|HARMAN, Eleanor|JEANNERET, Marsh|BILODEAU, Charles Bilodeau|BYERS, Virginia|SALISBURY, Margaret|BROWN, Sylvia",,The Copp Clark Company Ltd.,1952,1952-01-01,1952-12-31,,,"21 cm: 434 p., ill. (certaines en coul.)",,Comprend un index,Français,"Toronto, ON",,,
00000108,Habitations et Nations,"CHATTERTON, W. Gordon|CARRIÈRE, Laurier|RICHARDSON, Aileen",,John C. Winston & Company,1957,1957-01-01,1957-12-31,,,"23 cm: v, 236 p., ill. (certaines en coul.)",,Comprend un index,Français,"Toronto, ON",Primaire,3e année,
00000109,Le Canada et d'autres contrées,"CHATTERTON, W. Gordon|CARRIÈRE, Laurier|RICHARDSON, Aileen",,John C. Winston & Company,1957,1957-01-01,1957-12-31,,,"23 cm: iv, 266 p., ill. (certaines en coul.)",,Comprend un index,Français,"Toronto, ON",Primaire,4e année,
00000110,La Confédération,Frère Charles|Frère Léon,Histoire de mon pays ; 4,Ed. Nelson Canada,1962,1962-01-01,1962-12-31,,,"22 cm: 320 p., ill. et cartes",,Comprend un index,Français,"Toronto, ON",Intermédiaire,8e année,
00000111,La Découverte,"Frère Charles|Frère Léon|MERLE SMITH, John|KUNZ, Robert",Histoire de mon pays ; 1,Thomas Nelson & Sons Canada Ltd.,1958,1958-01-01,1958-12-31,,,"22 cm: 160 p., ill. et cartes (certaines en coul.)",,Comprend une table à la fin de l'ouvrage,Français,"Toronto, ON",Primaire,5e année,
00000112,La Découverte,"Frère Charles|Frère Léon|MERLE SMITH, John|KUNZ, Robert",Histoire de mon pays ; 1,Thomas Nelson & Sons Canada Ltd.,1960,1960-01-01,1960-12-31,,Éd. revisé,"22 cm: 160 p., ill. et cartes (certaines en coul.)",,Comprend une table à la fin de l'ouvrage,Français,"Toronto, ON",Primaire,5e année,
00000113,Les Deux Canada,"Frère Charles|Frère Léon|MERLE SMITH, John|MINDAK, H.E.",Histoire de mon pays ; 3,Thomas Nelson & Sons Canada Ltd.,1961,1961-01-01,1961-12-31,,,"22 cm: 224 p., ill et cartes",,Comprend un index. -- ISBN 0-176-32882-3,Français,"Toronto, ON",Intermédiaire,7e année,
00000114,La Nouvelle-France,"Frère Charles|Frère Léon|MERLE SMITH, John|ADAMS, Charles",Histoire de mon pays ; 2,Thomas Nelson & Sons Canada Ltd.,1960,1960-01-01,1960-12-31,,,"22 cm: 192 p., ill et cartes (certaines en coul.)",,Comprend un index,Français,"Toronto, ON",Primaire,6e année,
00000115,Notre héritage européen,"Frère Léon|MINDAK, H.E.",Histoire de mon pays,Ed. Nelson Canada,[1963?],1963-01-01,1963-12-31,,,"23 cm: 368 p., ill. et cartes",,Comprend un index,Français,"Toronto, ON",Secondaire,9e année,
00000116,Le Moyen Age et le commencement des temps modernes (395 à 1453) : classe de cinquième (division A et B),"GAGNOL, P.",Cours d'histoire ; 2,J. de Gigord,1925,1925-01-01,1925-12-31,,11e éd.,"18 cm: 344 p., ill.",,Comprend des résumés à la fin des chapitres,Français,"Paris, FR",Système français,5e année (France),
00000117,La Découverte du monde,"HAMILTON, Marjorie W.|CHARBONNEAU, Louis|SCOTT, Lloyd|VAN DEN HOOGEN, D. A. G.|HUTCHINGS, Priscilla",,"Clarke, Irwin & Company Ltd.",1955,1955-01-01,1955-12-31,,,"21 cm: xiv, 417 p., ill., graph. et cartes",,Comprend un index,Français,Canada,,,
00000118,"Histoire 6e : l'Égypte, l'Orient, la Grèce : livre de documentation","HARMAND, L.",Histoire Hatier,Hatier,[1964?],1964-01-01,1964-12-31,,,"22 cm: 119 p., graph. et cartes",,Sur la couv. : programme 1963,Français,"Paris, FR",Système français,6e année (France),
00000119,Mon village de Val-des-Bois,"HOLMES, M. W.|FRAZER, Geoffrey|CYR, Hervé",,J. M. Dent & Sons Canada Ltd.,1960,1960-01-01,1960-12-31,,,"23 cm: 196 p., ill. en coul.",,"Sur la couv. : sciences sociales, 2e année. -- Comprend un index",Français,"Toronto, ON|Vancouver, CB",Primaire,2e année,
00000120,"Les Origines de Montréal, Ville-Marie 1642-1665","MARCHAL, Léon",,Beauchemin; Bulletin des études françaises,1942,1942-01-01,1942-12-31,,,"24 cm: 214 p., ill.",,Comprend une bibliogr. à la fin de l'ouvrage,Français,"Montréal, QC",,,
00000121,Au Canada et à l'étranger,"MCKEOWN, Elizabeth|CHARBONNEAU, Louis|BANKS, Robert|DEWNEY, Selwyn",,MacMillan and Co. of Canada Ltd.,1957,1957-01-01,1957-12-31,,,"21 cm: x, 237 p., ill.",,Comprend un lexique,Français,Canada,,,Géographie|Histoire
00000122,L'Époque contemporaine (1789 à nos jours) : classe de troisième (division A et B),"UNY, Jules",Cours d'histoire ; 4,J. de Gigord,1920,1920-01-01,1920-12-31,,9e éd.,"18 cm: xii, 340 p., ill.",,Comprend un lexique au début de l'ouvrage. -- Comprend des résumés à la fin des chapitres,Français,"Paris, FR",,,
00000123,Histoire du Canada,"VIATOR, C. S.",,Les Clercs de Saint-Viateur,1915,1915-01-01,1915-12-31,1915-09-22,,"17 cm: 259 p., ill. et cartes",,Sur la couv. : cours intermédiaire. -- Comprend un lexique à la fin de l'ouvrage,Français,"Montréal, QC",Secondaire,Intermédiaire,
00000124,Petit Manuel d'histoire du Québec,"BERGERON, Léandre",,Éditions québécoises,1971,1971-01-01,1971-12-31,,5e éd.,"18 cm: 253 p., ill., graph. et cartes",,Comprend un tableau à la fin de l'ouvrage,Français,Québec,,,
00000125,Le Canada au XXe siècle,"BRAULT, Lucien",,Thomas Nelson & Sons Canada Ltd.,[1965?],1965-01-01,1965-12-31,,,"23 cm: 341 p., ill. et cartes (certaines en coul.)",,Comprend une bibliogr. et un index à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000126,Histoire du Canada par les textes : tome II (1855-1960),,,Fides,[1963?],1963-01-01,1963-12-31,,Éd. revue et augmentée,24 cm: 281 p.,,Comprend des tableaux et un index à la fin de l'ouvrage,Français,"Montréal, QC|Paris, FR",,,
00000127,Canada : unité et diversité,"CORNELL, Paul G.|HAMELIN, Jean|OUELLET, Fernand|TRUDEL, Marcel",,"Holt, Rinehart and Winston Limited",[1968?],1968-01-01,1968-12-31,,,"26 cm: ix, 578 p., ill., graph., tableaux et cartes",,Comprend des notes bibliogr.s et un index à la fin de l'ouvrage,Français,"Montréal, QC|Toronto, ON",,,
00000128,Canada : unité et diversité,"CORNELL, Paul G.|HAMELIN, Jean|OUELLET, Fernand|TRUDEL, Marcel",,"Holt, Rinehart and Winston Limited",[1971?],1971-01-01,1971-12-31,,Éd. revue et augmentée,"26 cm: ix, 622 p., ill., graph., tableaux et cartes",,"Comprend des notes bibliogr., des tableaux et un index à la fin de l'ouvrage. -- ISBN 0-03-925272-8",Français,"Montréal, QC|Toronto, ON",,,
00000129,Le Canada sauvé,"CARTES, F.E.C|BERNIER, J.",Lectures historiques ; 4,Frères des écoles chrétiennes,1961,1961-01-01,1961-12-31,,,"25 cm: 32 p., ill. et cartes en coul.",,,Français,"Montréal, QC",,,
00000130,Champlain et le développement du Canada,"CARTES, F.E.C|BERNIER, J.",Lectures historiques ; 3,Frères des écoles chrétiennes,1961,1961-01-01,1961-12-31,,,"25 cm: 32 p., ill. et une carte en coul.",,,Français,"Montréal, QC",,,
00000131,Cinq Découvreurs,"CARTES, F.E.C|BERNIER, J.",Lectures historiques ; 5,Frères des écoles chrétiennes,1961,1961-01-01,1961-12-31,,,"25 cm: 32 p., ill. et cartes en coul.",,,Français,"Montréal, QC",,,
00000132,Le Monde moins l'Amérique : volume II,"DAGENAIS, Pierre",Pierre Dagenais,Centre de psychologie et de pédagogie,1965,1965-01-01,1965-12-31,1957-05-15,,"23 cm: 203 p., ill. et cartes (certaines en coul.)",,Comprend des tableaux à la fin de l'ouvrage,Français,"Montréal, QC",Secondaire,Secondaire,
00000133,Les Débuts du Canada français,"CARTES, F.E.C|BERNIER, J.",Lectures historiques ; 2,Frères des écoles chrétiennes,1961,1961-01-01,1961-12-31,,,"25 cm: 32 p., ill. et cartes en coul.",,,Français,"Montréal, QC",,,
00000134,Découvreurs et Pionniers,"CARTES, F.E.C|BERNIER, J.",Histoire du Canada,Frères des écoles chrétiennes,1958,1958-01-01,1958-12-31,1958-02-26,,"24 cm: 159 p., ill. et cartes en coul.",,Sur la couv. : manuel de 4e et 5e année,Français,"Montréal, QC",Primaire,4e et 5e année,
00000135,Découvreurs et Pionniers,,Histoire du Canada,Lidec inc.,1961,1961-01-01,1961-12-31,1961-02-22,,"25 cm: 96 p., ill. et cartes en coul.",,Sur la couv. : cahier d'exercice sur le manuel de 4e et 5e année. -- Comprend des tables à la fin de l'ouvrage,Français,"Montréal, QC",Primaire,4e et 5e année,
00000136,Québec : initiation à la géographie urbaine,"DESJARDINS, Micheline",,"Holt, Rinehart and Winston Limited",[1970?],1970-01-01,1970-12-31,,,"23 cm: 88 p., ill., graph. et cartes (certaines en coul.)",,Comprend une bibliogr. à la fin de l'ouvrage. -- ISBN 0-03-925761-4,Français,"Montréal, QC|Toronto, ON",,,
00000137,"La Vie quotidienne en Nouvelle-France : la Canada, de Champlain à Montcalm","DOUVILLE, Raymond|CASANOVA, Jacques-Donat",La Vie quotidienne,Hachette,[1964?],1964-01-01,1964-12-31,,,20 cm: 272 p.,,Comprend une bibliogr. à la fin de l'ouvrage,Français,"Paris, FR",,,
00000138,"En Amérique, avant la découverte du Canada","CARTES, F.E.C|BERNIER, J.",Lectures historiques ; 1,Frères des écoles chrétiennes,1961,1961-01-01,1961-12-31,,,"25 cm: 32 p., ill. et cartes en coul.",,,Français,"Montréal, QC",,,
00000139,L'exploration se poursuit,"CARTES, F.E.C|BERNIER, J.",Lectures historiques ; 7,Frères des écoles chrétiennes,1961,1961-01-01,1961-12-31,,,"25 cm: 32 p., ill. et cartes en coul.",,,Français,"Montréal, QC",,,
00000142,Notre héritage : la patrie,"CARTES, F.E.C|BERNIER, J.",Lectures historiques ; 10,Frères des écoles chrétiennes,1961,1961-01-01,1961-12-31,,,"25 cm: 32 p., ill.",,,Français,"Montréal, QC",,,
00000143,Le Peuple canadien d'aujourd'hui,"CARTES, F.E.C|BERNIER, J.",Lectures historiques ; 9,Frères des écoles chrétiennes,1961,1961-01-01,1961-12-31,,,"25 cm: 32 p., ill.",,,Français,"Montréal, QC",,,
00000144,Le peuplement se poursuit,"CARTES, F.E.C|BERNIER, J.",Lectures historiques ; 8,Frères des écoles chrétiennes,1961,1961-01-01,1961-12-31,,,"25 cm: 32 p., ill. et cartes (certaines en coul.)",,,Français,"Montréal, QC",,,
00000145,"Histoire générale I : l'Orient, la Grèce, Rome : le Moyen Age jusqu'en 1328","SAVARD, P.|DUSSAULT, H.",Collection d'histoire ; 1,Centre éducatif et culturel inc.,[1966?],1966-01-01,1966-12-31,,,"23 cm: 318 p., ill., graph. et cartes (certaines en coul.)",,Comprend des références et une table à la fin de l'ouvrage,Français,"Montréal, QC",,,
00000146,Histoire générale II :  de 1328 à 1815,"SAVARD, P.|DUSSAULT, H.",Collection d'histoire ; 2,Centre éducatif et culturel inc.,[1967?],1967-01-01,1967-12-31,,,"23 cm: 320 p., ill., graph. et cartes (certaines en coul.)",,Comprend des références et une table à la fin de l'ouvrage,Français,"Montréal, QC",,,
00000147,Histoire générale II :  de 1815 à 1968,"SAVARD, P.|DUSSAULT, H.",Collection d'histoire ; 3,Centre éducatif et culturel inc.,[1968?],1968-01-01,1968-12-31,,,"23 cm: 320 p., ill., graph. et cartes (certaines en coul.)",,"Comprend un tableau, des références et une table à la fin de l'ouvrage",Français,"Montréal, QC",,,
00000148,Québec Canada : histoire du Canada : tome II (1763-1958),"TESSIER, Albert",,Éditions du Pélican,1958,1958-01-01,1958-12-31,,,"21 cm: 308 p., ill.",,,Français,Québec,,,
00000149,Les Grandes Étapes de la civilisations française,"THORAVAL, Jean",,Bordas; Centre éducatif et culturel inc.,[1968?],1968-01-01,1968-12-31,,,"24 cm: vii, 760 p., ill. (certaines en coul.)",,"Sur la couv. : son extension au Canada. -- Comprend une extension à la fin de l'ouvrage. -- Comprend une chronologie, un index et une table à la fin de l'ouvrage",Français,"Paris, FR|Montréal, QC",,,
00000150,La Vie au Canada à la fin du régime français,"CARTES, F.E.C|BERNIER, J.",Lectures historiques ; 6,Frères des écoles chrétiennes,1961,1961-01-01,1961-12-31,,,"25 cm: 32 p., ill. et cartes (certaines en coul.)",,,Français,"Montréal, QC",,,
00000151,Québec : ville historique,"VINCENT, Rodolphe",Collection Canada,Centre de psychologie et de pédagogie,1964,1964-01-01,1964-12-31,,,"24 cm: env. 28 p., ill. en coul.",,Comprend des sources à la fin de l'ouvrage,Français,"Montréal, QC",,,
00000152,Exploring Southern Continents,"BRAUND, W. Bruce",,McGraw-Hill Ryerson Limited,[1976?],1976-01-01,1976-12-31,,,"24 cm: 290 p., ill., graph., tableaux et cartes (certaines en coul.)",ISBN 0-07-082307-3,,Anglais,"Toronto, ON",,,
00000153,Home and Homeland,"CHATTERTON, W. Gordon|RICHARDSON, Aileen",,The John C. Winston Co. Limited,[1956?],1956-01-01,1956-12-31,,,"22 cm: v, 237 p., ill. (certaines en coul.)",,Comprend un index à la fin de l'ouvrage,Anglais,"Toronto, ON",,,
